         filenames tabloid non_tabloid is_tabloid           fit
1   1853094814.txt       0           1      FALSE -4.859551e-01
2   1866028869.txt       0           1      FALSE -7.675382e-01
3   1871050347.txt       0           2      FALSE -5.390038e-01
4   1876610993.txt       0           1      FALSE -7.230467e-01
5   1892725699.txt       0           2      FALSE -2.856644e-01
6   1923460772.txt       3           0       TRUE -4.150987e-01
7   1925132074.txt       0           2      FALSE -6.342241e-01
8   1925279945.txt       0           2      FALSE -7.323018e-01
9   1926282768.txt       0           1      FALSE -6.079258e-01
10  1932153671.txt       0           1      FALSE -5.927109e-01
11  1937903769.txt       1           0       TRUE -5.723197e-01
12  1943353948.txt       0           1      FALSE -6.436771e-01
13  1970631088.txt       1           0       TRUE -5.000531e-01
14  1985365284.txt       0           1      FALSE -6.631969e-01
15  1988147216.txt       0           1      FALSE -2.370565e-01
16  1994681535.txt       0           2      FALSE -6.087584e-01
17  2000720372.txt       0           1      FALSE -3.330462e-01
18  2002544949.txt       2           0       TRUE -3.987284e-01
19  2008966018.txt       0           1      FALSE -6.411764e-01
20  2012290954.txt       1           0       TRUE -4.047938e-01
21  2015991184.txt       0           1      FALSE -6.006335e-01
22  2025267103.txt       0           1      FALSE -5.362079e-01
23  2027881867.txt       0           4      FALSE -5.522236e-01
24  2033398950.txt       0           2      FALSE -5.819644e-01
25  2049853360.txt       0           1      FALSE -8.934161e-01
26  2068317033.txt       0           2      FALSE -5.809067e-01
27  2071994844.txt       3           0       TRUE  1.679163e-15
28  2077355190.txt       0           3      FALSE -2.765178e-01
29  2077558488.txt       0           3      FALSE -5.334944e-01
30  2077609642.txt       0           1      FALSE -5.744519e-01
31  2078846077.txt       0           4      FALSE -5.175785e-01
32  2087130622.txt       2           2      FALSE -5.488826e-01
33  2095508953.txt       2           0       TRUE -7.057549e-01
34  2097327864.txt       0           1      FALSE -6.002914e-01
35  2104665037.txt       0           1      FALSE -3.637874e-01
36  2104746380.txt       0           2      FALSE -5.020682e-01
37  2104903298.txt       2           0       TRUE -2.500572e-01
38  2112574115.txt       2           0       TRUE -4.916284e-01
39  2113830444.txt       0           2      FALSE -5.600931e-01
40  2115971452.txt       1           0       TRUE -5.919407e-01
41  2119186216.txt       3           0       TRUE -4.719972e-01
42  2136785092.txt       0           1      FALSE -5.607036e-01
43  2143371155.txt       0           1      FALSE -6.590510e-01
44  2153936054.txt       2           0       TRUE -6.514575e-01
45  2162856679.txt       2           2      FALSE -3.688565e-01
46  2169447966.txt       3           0       TRUE -6.737229e-01
47  2177553493.txt       0           1      FALSE -6.804353e-01
48  2183808309.txt       1           2      FALSE -7.305754e-01
49  2184336508.txt       2           0       TRUE -3.685622e-01
50  2187575441.txt       0           1      FALSE -7.770876e-01
51  2193930483.txt       1           0       TRUE -6.747313e-01
52  2198260241.txt       3           0       TRUE -7.800208e-01
53  2200169298.txt       0           2      FALSE -7.809817e-01
54  2200270682.txt       0           3      FALSE -6.814668e-01
55  2201396820.txt       0           2      FALSE -4.434602e-01
56  2215107988.txt       1           1      FALSE -5.398088e-01
57  2225314942.txt       0           1      FALSE -4.954862e-01
58  2236890757.txt       1           0       TRUE -4.434575e-01
59  2239409338.txt       1           0       TRUE -1.056251e-01
60  2247379983.txt       0           1      FALSE -4.106618e-01
61  2253526747.txt       1           1      FALSE -6.623609e-01
62  2264098637.txt       1           0       TRUE -6.029346e-01
63  2264152622.txt       2           0       TRUE -6.621130e-01
64  2267445956.txt       0           3      FALSE -4.370034e-01
65  2268814172.txt       3           0       TRUE  1.146099e-15
66  2274291443.txt       0           3      FALSE -6.932673e-01
67  2277596918.txt       0           1      FALSE -6.245167e-01
68  2287857735.txt       0           2      FALSE -6.410379e-01
69  2288006582.txt       0           1      FALSE -5.927238e-01
70  2289794304.txt       1           1      FALSE -7.007117e-01
71  2298646158.txt       0           1      FALSE -3.778268e-01
72  2302049871.txt       2           0       TRUE -6.079290e-01
73  2310749308.txt       0           1      FALSE -4.953966e-01
74  2315720881.txt       0           1      FALSE -5.065885e-01
75  2331858795.txt       0           1      FALSE -4.698748e-01
76  2336577417.txt       0           3      FALSE -4.464985e-01
77  2337763924.txt       2           0       TRUE -5.708104e-01
78  2338981861.txt       0           1      FALSE -6.068036e-01
79  2340317916.txt       0           3      FALSE -6.876753e-01
80  2343042357.txt       1           0       TRUE -5.851244e-01
81  2352460094.txt       0           1      FALSE -5.753971e-01
82  2354808494.txt       1           0       TRUE -1.469479e-01
83  2364235107.txt       3           2       TRUE -4.298092e-01
84  2367578553.txt       1           0       TRUE -4.121497e-01
85  2369745939.txt       0           1      FALSE -7.058388e-01
86  2388646096.txt       0           1      FALSE -4.497937e-01
87  2396668896.txt       1           1      FALSE -6.634048e-01
88  2403899849.txt       0           1      FALSE -5.941247e-01
89  2408204897.txt       1           0       TRUE -6.107395e-01
90  2413642968.txt       2           2      FALSE -5.300194e-01
91  2414106700.txt       1           0       TRUE -4.477240e-01
92  2416142839.txt       5           0       TRUE -6.451415e-01
93  2420480703.txt       0           1      FALSE -5.805472e-01
94  2421816207.txt       2           0       TRUE -8.118428e-01
95  2425640485.txt       0           1      FALSE -4.213513e-01
96  2426032904.txt       0           1      FALSE -6.194391e-01
97  2433126357.txt       3           1       TRUE -6.688810e-01
98  2433882310.txt       0           1      FALSE -3.800154e-01
