         filenames tabloid non_tabloid is_tabloid
1   2183808309.txt       1           2      FALSE
2   3814465425.txt       0           2      FALSE
3   1925279945.txt       0           2      FALSE
4   3734025271.txt       1           1      FALSE
5   2336577417.txt       0           3      FALSE
6   4947209925.txt       3           0       TRUE
7   5695680283.txt       0           1      FALSE
8   4792085147.txt       0           1      FALSE
9   4781828169.txt       0           2      FALSE
10  4504246362.txt       0           2      FALSE
11  3259914714.txt       1           1      FALSE
12  3976393772.txt       2           0       TRUE
13  2274291443.txt       0           3      FALSE
14  4508324632.txt       0           3      FALSE
15  4119764154.txt       0           3      FALSE
16  4786590096.txt       0           1      FALSE
17  4832971950.txt       0           2      FALSE
18  4887854710.txt       1           0       TRUE
19  3533522332.txt       0           1      FALSE
20  5393864985.txt       2           1       TRUE
21  5843894216.txt       0           1      FALSE
22  3096416130.txt       1           0       TRUE
23  4310119873.txt       0           1      FALSE
24  5095433942.txt       0           3      FALSE
25  5690529259.txt       0           2      FALSE
26  2364235107.txt       3           2       TRUE
27  2416142839.txt       5           0       TRUE
28  4705639661.txt       0           1      FALSE
29  4802982543.txt       2           0       TRUE
30  5518698261.txt       1           0       TRUE
31  3622996067.txt       0           5      FALSE
32  4594224559.txt       0           2      FALSE
33  4409609238.txt       0           3      FALSE
34  2663949397.txt       2           2      FALSE
35  3739929759.txt       2           1       TRUE
36  2338981861.txt       0           1      FALSE
37  2421816207.txt       2           0       TRUE
38  3769454929.txt       0           3      FALSE
39  3198334700.txt       0           1      FALSE
40  2471450702.txt       0           3      FALSE
41  2414106700.txt       1           0       TRUE
42  2856999007.txt       0           1      FALSE
43  2827914259.txt       2           1       TRUE
44  4529982836.txt       3           1       TRUE
45  2253526747.txt       1           1      FALSE
46  2470634331.txt       1           3      FALSE
47  2460884815.txt       0           3      FALSE
48  4748660891.txt       0           1      FALSE
49  3670130225.txt       0           1      FALSE
50  3197541338.txt       0           1      FALSE
51  4183266437.txt       0           2      FALSE
52  5055014213.txt       0           1      FALSE
53  3913609079.txt       0           1      FALSE
54  2860955973.txt       1           3      FALSE
55  2500516658.txt       0           2      FALSE
56  5918925780.txt       0           2      FALSE
57  3968966542.txt       1           2      FALSE
58  4757475162.txt       0           2      FALSE
59  2277596918.txt       0           1      FALSE
60  3961600748.txt       1           1      FALSE
61  4431510690.txt       0           1      FALSE
62  6036975470.txt       1           0       TRUE
63  4974772259.txt       1           1      FALSE
64  2396668896.txt       1           1      FALSE
65  2115971452.txt       1           0       TRUE
66  3097896386.txt       1           0       TRUE
67  5546331647.txt       1           1      FALSE
68  4510358957.txt       0           2      FALSE
69  6136600014.txt       1           3      FALSE
70  4992493245.txt       0           1      FALSE
71  5344104877.txt       0           3      FALSE
72  4397177210.txt       2           1       TRUE
73  1871050347.txt       0           2      FALSE
74  3413464681.txt       0           2      FALSE
75  2264152622.txt       2           0       TRUE
76  2302049871.txt       2           0       TRUE
77  3173666430.txt       1           1      FALSE
78  2343042357.txt       1           0       TRUE
79  2367578553.txt       1           0       TRUE
80  4022858068.txt       0           1      FALSE
81  5613455133.txt       0           3      FALSE
82  4029146163.txt       0           2      FALSE
83  2438688179.txt       0           1      FALSE
84  4377171238.txt       1           2      FALSE
85  2953196977.txt       1           1      FALSE
86  2239409338.txt       1           0       TRUE
87  2225314942.txt       0           1      FALSE
88  3476069885.txt       0           3      FALSE
89  2683999762.txt       1           0       TRUE
90  3387767354.txt       0           2      FALSE
91  3344913358.txt       0           1      FALSE
92  4486639164.txt       2           0       TRUE
93  2996258397.txt       2           0       TRUE
94  3067148741.txt       0           1      FALSE
95  3998830794.txt       3           0       TRUE
96  5424009817.txt       2           1       TRUE
97  3019414130.txt       0           3      FALSE
98  2104903298.txt       2           0       TRUE
99  5418769580.txt       2           0       TRUE
100 5954906776.txt       1           1      FALSE
101 3757283597.txt       3           0       TRUE
102 2833622132.txt       1           4      FALSE
103 5069735552.txt       2           0       TRUE
104 2433126357.txt       3           1       TRUE
105 3378986017.txt       2           0       TRUE
106 4698184288.txt       1           1      FALSE
107 6026750493.txt       0           2      FALSE
108 3957809462.txt       1           3      FALSE
109 2548975314.txt       3           2       TRUE
110 2289794304.txt       1           1      FALSE
111 6107468716.txt       2           2      FALSE
112 5274160790.txt       4           3       TRUE
113 2287857735.txt       0           2      FALSE
114 2413642968.txt       2           2      FALSE
115 3574657569.txt       2           1       TRUE
116 4047767743.txt       2           1       TRUE
117 4794330105.txt       2           1       TRUE
118 3845596541.txt       3           1       TRUE
119 4964071475.txt       2           5      FALSE
120 6033957390.txt       2           1       TRUE
121 3961516189.txt       4           1       TRUE
122 4958048138.txt       2           2      FALSE
123 4990125249.txt       2           1       TRUE
124 4041746998.txt       1           2      FALSE
125 3929840651.txt       0           2      FALSE
126 2473760379.txt       3           1       TRUE
127 2153936054.txt       2           0       TRUE
128 3127172994.txt       1           3      FALSE
129 4052005545.txt       1           1      FALSE
130 2162856679.txt       2           2      FALSE
131 2707268232.txt       1           1      FALSE
132 4940418168.txt       2           0       TRUE
133 2847424164.txt       1           1       TRUE
134 2095508953.txt       2           0       TRUE
135 3320583740.txt       0           1      FALSE
136 3094839722.txt       1           2      FALSE
137 4739471337.txt       3           0       TRUE
138 3066229433.txt       0           2      FALSE
139 3901218825.txt       1           1       TRUE
140 2735394657.txt       1           1      FALSE
141 4432481966.txt       0           2      FALSE
142 2200270682.txt       0           3      FALSE
143 5595278265.txt       0           1      FALSE
144 2763188496.txt       0           2      FALSE
145 2119186216.txt       3           0       TRUE
146 3507785728.txt       0           5      FALSE
147 2268814172.txt       3           0       TRUE
148 4207351676.txt       0           2      FALSE
149 2686235305.txt       0           2      FALSE
150 3917011491.txt       1           2      FALSE
151 6096522457.txt       0           1      FALSE
152 4793264246.txt       1           1       TRUE
153 2862453369.txt       1           0       TRUE
154 2310749308.txt       0           1      FALSE
155 3657620177.txt       1           1      FALSE
156 3165757024.txt       2           3      FALSE
157 2315720881.txt       0           1      FALSE
158 4293436236.txt       3           2       TRUE
159 4058772900.txt       0           2      FALSE
160 2201396820.txt       0           2      FALSE
161 2588501244.txt       1           0       TRUE
162 3566473263.txt       2           0       TRUE
163 5709362183.txt       1           1      FALSE
164 5374754844.txt       2           0       TRUE
165 2989933533.txt       1           0       TRUE
166 4679833922.txt       0           1      FALSE
167 3343330524.txt       0           3      FALSE
168 3413991136.txt       1           0       TRUE
169 5645325455.txt       0           1      FALSE
170 5712616241.txt       1           1       TRUE
171 4429567421.txt       1           1       TRUE
172 3977748813.txt       0           1      FALSE
